instrument_id,equipment_id,facility_id,system_id,instrument_type,tag,unit,opcua_node_id,range_low,range_high,sample_rate_hz
INST_T003_TURBINE_SPEED,EQUIP_RTI_T003,FACILITY_RTI_001,SYSTEM_RTI_001,speed,turbine_speed,rpm,ns=2;s=T003.turbine_speed,290,310,1.0
INST_T003_TURBINE_TEMP,EQUIP_RTI_T003,FACILITY_RTI_001,SYSTEM_RTI_001,temperature,turbine_temp,C,ns=2;s=T003.turbine_temp,30,110,0.2
INST_T003_VIBRATION_A,EQUIP_RTI_T003,FACILITY_RTI_001,SYSTEM_RTI_001,vibration,vibration_a,mm_s,ns=2;s=T003.vibration_a,0,45,1.0
INST_T003_VIBRATION_D,EQUIP_RTI_T003,FACILITY_RTI_001,SYSTEM_RTI_001,vibration,vibration_d,mm_s,ns=2;s=T003.vibration_d,0,45,1.0
INST_T004_INLET_PRESSURE,EQUIP_RTI_T004,FACILITY_RTI_001,SYSTEM_RTI_001,pressure,inlet_pressure,bar,ns=2;s=T004.inlet_pressure,5,25,1.0
INST_T004_POWER_OUTPUT,EQUIP_RTI_T004,FACILITY_RTI_001,SYSTEM_RTI_001,power,power_output,MW,ns=2;s=T004.power_output,0,120,1.0
INST_T004_TURBINE_SPEED,EQUIP_RTI_T004,FACILITY_RTI_001,SYSTEM_RTI_001,speed,turbine_speed,rpm,ns=2;s=T004.turbine_speed,290,310,1.0
INST_T004_TURBINE_TEMP,EQUIP_RTI_T004,FACILITY_RTI_001,SYSTEM_RTI_001,temperature,turbine_temp,C,ns=2;s=T004.turbine_temp,30,110,0.2
INST_T004_VIBRATION_A,EQUIP_RTI_T004,FACILITY_RTI_001,SYSTEM_RTI_001,vibration,vibration_a,mm_s,ns=2;s=T004.vibration_a,0,45,1.0
INST_T004_VIBRATION_D,EQUIP_RTI_T004,FACILITY_RTI_001,SYSTEM_RTI_001,vibration,vibration_d,mm_s,ns=2;s=T004.vibration_d,0,45,1.0
INST_T005_INLET_PRESSURE,EQUIP_RTI_T005,FACILITY_RTI_001,SYSTEM_RTI_001,pressure,inlet_pressure,bar,ns=2;s=T005.inlet_pressure,5,25,1.0
INST_T005_POWER_OUTPUT,EQUIP_RTI_T005,FACILITY_RTI_001,SYSTEM_RTI_001,power,power_output,MW,ns=2;s=T005.power_output,0,120,1.0
INST_T005_TURBINE_SPEED,EQUIP_RTI_T005,FACILITY_RTI_001,SYSTEM_RTI_001,speed,turbine_speed,rpm,ns=2;s=T005.turbine_speed,290,310,1.0
INST_T005_TURBINE_TEMP,EQUIP_RTI_T005,FACILITY_RTI_001,SYSTEM_RTI_001,temperature,turbine_temp,C,ns=2;s=T005.turbine_temp,30,110,0.2
INST_T005_VIBRATION_A,EQUIP_RTI_T005,FACILITY_RTI_001,SYSTEM_RTI_001,vibration,vibration_a,mm_s,ns=2;s=T005.vibration_a,0,45,1.0
INST_T005_VIBRATION_D,EQUIP_RTI_T005,FACILITY_RTI_001,SYSTEM_RTI_001,vibration,vibration_d,mm_s,ns=2;s=T005.vibration_d,0,45,1.0
INST_T006_INLET_PRESSURE,EQUIP_RTI_T006,FACILITY_RTI_002,SYSTEM_RTI_002,pressure,inlet_pressure,bar,ns=2;s=T006.inlet_pressure,5,25,1.0
INST_T006_POWER_OUTPUT,EQUIP_RTI_T006,FACILITY_RTI_002,SYSTEM_RTI_002,power,power_output,MW,ns=2;s=T006.power_output,0,120,1.0
INST_T006_TURBINE_SPEED,EQUIP_RTI_T006,FACILITY_RTI_002,SYSTEM_RTI_002,speed,turbine_speed,rpm,ns=2;s=T006.turbine_speed,290,310,1.0
INST_T006_TURBINE_TEMP,EQUIP_RTI_T006,FACILITY_RTI_002,SYSTEM_RTI_002,temperature,turbine_temp,C,ns=2;s=T006.turbine_temp,30,110,0.2
INST_T006_VIBRATION_A,EQUIP_RTI_T006,FACILITY_RTI_002,SYSTEM_RTI_002,vibration,vibration_a,mm_s,ns=2;s=T006.vibration_a,0,45,1.0
INST_T006_VIBRATION_D,EQUIP_RTI_T006,FACILITY_RTI_002,SYSTEM_RTI_002,vibration,vibration_d,mm_s,ns=2;s=T006.vibration_d,0,45,1.0
INST_T007_INLET_PRESSURE,EQUIP_RTI_T007,FACILITY_RTI_002,SYSTEM_RTI_002,pressure,inlet_pressure,bar,ns=2;s=T007.inlet_pressure,5,25,1.0
INST_T007_POWER_OUTPUT,EQUIP_RTI_T007,FACILITY_RTI_002,SYSTEM_RTI_002,power,power_output,MW,ns=2;s=T007.power_output,0,120,1.0
INST_T007_TURBINE_SPEED,EQUIP_RTI_T007,FACILITY_RTI_002,SYSTEM_RTI_002,speed,turbine_speed,rpm,ns=2;s=T007.turbine_speed,290,310,1.0
INST_T007_TURBINE_TEMP,EQUIP_RTI_T007,FACILITY_RTI_002,SYSTEM_RTI_002,temperature,turbine_temp,C,ns=2;s=T007.turbine_temp,30,110,0.2
INST_T007_VIBRATION_A,EQUIP_RTI_T007,FACILITY_RTI_002,SYSTEM_RTI_002,vibration,vibration_a,mm_s,ns=2;s=T007.vibration_a,0,45,1.0
INST_T007_VIBRATION_D,EQUIP_RTI_T007,FACILITY_RTI_002,SYSTEM_RTI_002,vibration,vibration_d,mm_s,ns=2;s=T007.vibration_d,0,45,1.0
INST_T008_INLET_PRESSURE,EQUIP_RTI_T008,FACILITY_RTI_002,SYSTEM_RTI_002,pressure,inlet_pressure,bar,ns=2;s=T008.inlet_pressure,5,25,1.0
INST_T008_POWER_OUTPUT,EQUIP_RTI_T008,FACILITY_RTI_002,SYSTEM_RTI_002,power,power_output,MW,ns=2;s=T008.power_output,0,120,1.0
INST_T008_TURBINE_SPEED,EQUIP_RTI_T008,FACILITY_RTI_002,SYSTEM_RTI_002,speed,turbine_speed,rpm,ns=2;s=T008.turbine_speed,290,310,1.0
INST_T008_TURBINE_TEMP,EQUIP_RTI_T008,FACILITY_RTI_002,SYSTEM_RTI_002,temperature,turbine_temp,C,ns=2;s=T008.turbine_temp,30,110,0.2
INST_T008_VIBRATION_A,EQUIP_RTI_T008,FACILITY_RTI_002,SYSTEM_RTI_002,vibration,vibration_a,mm_s,ns=2;s=T008.vibration_a,0,45,1.0
INST_T008_VIBRATION_D,EQUIP_RTI_T008,FACILITY_RTI_002,SYSTEM_RTI_002,vibration,vibration_d,mm_s,ns=2;s=T008.vibration_d,0,45,1.0
INST_T009_INLET_PRESSURE,EQUIP_RTI_T009,FACILITY_RTI_002,SYSTEM_RTI_002,pressure,inlet_pressure,bar,ns=2;s=T009.inlet_pressure,5,25,1.0
INST_T009_POWER_OUTPUT,EQUIP_RTI_T009,FACILITY_RTI_002,SYSTEM_RTI_002,power,power_output,MW,ns=2;s=T009.power_output,0,120,1.0
INST_T009_TURBINE_SPEED,EQUIP_RTI_T009,FACILITY_RTI_002,SYSTEM_RTI_002,speed,turbine_speed,rpm,ns=2;s=T009.turbine_speed,290,310,1.0
INST_T009_TURBINE_TEMP,EQUIP_RTI_T009,FACILITY_RTI_002,SYSTEM_RTI_002,temperature,turbine_temp,C,ns=2;s=T009.turbine_temp,30,110,0.2
INST_T009_VIBRATION_A,EQUIP_RTI_T009,FACILITY_RTI_002,SYSTEM_RTI_002,vibration,vibration_a,mm_s,ns=2;s=T009.vibration_a,0,45,1.0
INST_T009_VIBRATION_D,EQUIP_RTI_T009,FACILITY_RTI_002,SYSTEM_RTI_002,vibration,vibration_d,mm_s,ns=2;s=T009.vibration_d,0,45,1.0
INST_T010_INLET_PRESSURE,EQUIP_RTI_T010,FACILITY_RTI_002,SYSTEM_RTI_002,pressure,inlet_pressure,bar,ns=2;s=T010.inlet_pressure,5,25,1.0
INST_T010_POWER_OUTPUT,EQUIP_RTI_T010,FACILITY_RTI_002,SYSTEM_RTI_002,power,power_output,MW,ns=2;s=T010.power_output,0,120,1.0
INST_T010_TURBINE_SPEED,EQUIP_RTI_T010,FACILITY_RTI_002,SYSTEM_RTI_002,speed,turbine_speed,rpm,ns=2;s=T010.turbine_speed,290,310,1.0
INST_T010_TURBINE_TEMP,EQUIP_RTI_T010,FACILITY_RTI_002,SYSTEM_RTI_002,temperature,turbine_temp,C,ns=2;s=T010.turbine_temp,30,110,0.2
INST_T010_VIBRATION_A,EQUIP_RTI_T010,FACILITY_RTI_002,SYSTEM_RTI_002,vibration,vibration_a,mm_s,ns=2;s=T010.vibration_a,0,45,1.0
INST_T010_VIBRATION_D,EQUIP_RTI_T010,FACILITY_RTI_002,SYSTEM_RTI_002,vibration,vibration_d,mm_s,ns=2;s=T010.vibration_d,0,45,1.0
INST_T011_INLET_PRESSURE,EQUIP_RTI_T011,FACILITY_RTI_003,SYSTEM_RTI_003,pressure,inlet_pressure,bar,ns=2;s=T011.inlet_pressure,5,25,1.0
INST_T011_POWER_OUTPUT,EQUIP_RTI_T011,FACILITY_RTI_003,SYSTEM_RTI_003,power,power_output,MW,ns=2;s=T011.power_output,0,120,1.0
INST_T011_TURBINE_SPEED,EQUIP_RTI_T011,FACILITY_RTI_003,SYSTEM_RTI_003,speed,turbine_speed,rpm,ns=2;s=T011.turbine_speed,290,310,1.0
INST_T011_TURBINE_TEMP,EQUIP_RTI_T011,FACILITY_RTI_003,SYSTEM_RTI_003,temperature,turbine_temp,C,ns=2;s=T011.turbine_temp,30,110,0.2
INST_T011_VIBRATION_A,EQUIP_RTI_T011,FACILITY_RTI_003,SYSTEM_RTI_003,vibration,vibration_a,mm_s,ns=2;s=T011.vibration_a,0,45,1.0
INST_T011_VIBRATION_D,EQUIP_RTI_T011,FACILITY_RTI_003,SYSTEM_RTI_003,vibration,vibration_d,mm_s,ns=2;s=T011.vibration_d,0,45,1.0
INST_T012_INLET_PRESSURE,EQUIP_RTI_T012,FACILITY_RTI_003,SYSTEM_RTI_003,pressure,inlet_pressure,bar,ns=2;s=T012.inlet_pressure,5,25,1.0
INST_T012_POWER_OUTPUT,EQUIP_RTI_T012,FACILITY_RTI_003,SYSTEM_RTI_003,power,power_output,MW,ns=2;s=T012.power_output,0,120,1.0
INST_T012_TURBINE_SPEED,EQUIP_RTI_T012,FACILITY_RTI_003,SYSTEM_RTI_003,speed,turbine_speed,rpm,ns=2;s=T012.turbine_speed,290,310,1.0
INST_T012_TURBINE_TEMP,EQUIP_RTI_T012,FACILITY_RTI_003,SYSTEM_RTI_003,temperature,turbine_temp,C,ns=2;s=T012.turbine_temp,30,110,0.2
INST_T012_VIBRATION_A,EQUIP_RTI_T012,FACILITY_RTI_003,SYSTEM_RTI_003,vibration,vibration_a,mm_s,ns=2;s=T012.vibration_a,0,45,1.0
INST_T012_VIBRATION_D,EQUIP_RTI_T012,FACILITY_RTI_003,SYSTEM_RTI_003,vibration,vibration_d,mm_s,ns=2;s=T012.vibration_d,0,45,1.0
INST_T013_INLET_PRESSURE,EQUIP_RTI_T013,FACILITY_RTI_003,SYSTEM_RTI_003,pressure,inlet_pressure,bar,ns=2;s=T013.inlet_pressure,5,25,1.0
INST_T013_POWER_OUTPUT,EQUIP_RTI_T013,FACILITY_RTI_003,SYSTEM_RTI_003,power,power_output,MW,ns=2;s=T013.power_output,0,120,1.0
INST_T013_TURBINE_SPEED,EQUIP_RTI_T013,FACILITY_RTI_003,SYSTEM_RTI_003,speed,turbine_speed,rpm,ns=2;s=T013.turbine_speed,290,310,1.0
INST_T013_TURBINE_TEMP,EQUIP_RTI_T013,FACILITY_RTI_003,SYSTEM_RTI_003,temperature,turbine_temp,C,ns=2;s=T013.turbine_temp,30,110,0.2
INST_T013_VIBRATION_A,EQUIP_RTI_T013,FACILITY_RTI_003,SYSTEM_RTI_003,vibration,vibration_a,mm_s,ns=2;s=T013.vibration_a,0,45,1.0
INST_T013_VIBRATION_D,EQUIP_RTI_T013,FACILITY_RTI_003,SYSTEM_RTI_003,vibration,vibration_d,mm_s,ns=2;s=T013.vibration_d,0,45,1.0
INST_T014_INLET_PRESSURE,EQUIP_RTI_T014,FACILITY_RTI_003,SYSTEM_RTI_003,pressure,inlet_pressure,bar,ns=2;s=T014.inlet_pressure,5,25,1.0
INST_T014_POWER_OUTPUT,EQUIP_RTI_T014,FACILITY_RTI_003,SYSTEM_RTI_003,power,power_output,MW,ns=2;s=T014.power_output,0,120,1.0
INST_T014_TURBINE_SPEED,EQUIP_RTI_T014,FACILITY_RTI_003,SYSTEM_RTI_003,speed,turbine_speed,rpm,ns=2;s=T014.turbine_speed,290,310,1.0
INST_T014_TURBINE_TEMP,EQUIP_RTI_T014,FACILITY_RTI_003,SYSTEM_RTI_003,temperature,turbine_temp,C,ns=2;s=T014.turbine_temp,30,110,0.2
INST_T014_VIBRATION_A,EQUIP_RTI_T014,FACILITY_RTI_003,SYSTEM_RTI_003,vibration,vibration_a,mm_s,ns=2;s=T014.vibration_a,0,45,1.0
INST_T014_VIBRATION_D,EQUIP_RTI_T014,FACILITY_RTI_003,SYSTEM_RTI_003,vibration,vibration_d,mm_s,ns=2;s=T014.vibration_d,0,45,1.0
INST_T015_INLET_PRESSURE,EQUIP_RTI_T015,FACILITY_RTI_003,SYSTEM_RTI_003,pressure,inlet_pressure,bar,ns=2;s=T015.inlet_pressure,5,25,1.0
INST_T015_POWER_OUTPUT,EQUIP_RTI_T015,FACILITY_RTI_003,SYSTEM_RTI_003,power,power_output,MW,ns=2;s=T015.power_output,0,120,1.0
INST_T015_TURBINE_SPEED,EQUIP_RTI_T015,FACILITY_RTI_003,SYSTEM_RTI_003,speed,turbine_speed,rpm,ns=2;s=T015.turbine_speed,290,310,1.0
INST_T015_TURBINE_TEMP,EQUIP_RTI_T015,FACILITY_RTI_003,SYSTEM_RTI_003,temperature,turbine_temp,C,ns=2;s=T015.turbine_temp,30,110,0.2
INST_T015_VIBRATION_A,EQUIP_RTI_T015,FACILITY_RTI_003,SYSTEM_RTI_003,vibration,vibration_a,mm_s,ns=2;s=T015.vibration_a,0,45,1.0
INST_T015_VIBRATION_D,EQUIP_RTI_T015,FACILITY_RTI_003,SYSTEM_RTI_003,vibration,vibration_d,mm_s,ns=2;s=T015.vibration_d,0,45,1.0
