instrument_id,equipment_id,facility_id,system_id,instrument_type,tag,unit,opcua_node_id,range_low,range_high,sample_rate_hz
INST_T003_TURBINE_SPEED,EQUIP_RTI_T003,FACILITY_RTI_001,SYSTEM_RTI_001,speed,turbine_speed,rpm,ns=2;s=T003.turbine_speed,290,310,1.0
INST_T003_TURBINE_TEMP,EQUIP_RTI_T003,FACILITY_RTI_001,SYSTEM_RTI_001,temperature,turbine_temp,C,ns=2;s=T003.turbine_temp,30,110,0.2
INST_T003_VIBRATION_A,EQUIP_RTI_T003,FACILITY_RTI_001,SYSTEM_RTI_001,vibration,vibration_a,mm_s,ns=2;s=T003.vibration_a,0,45,1.0
INST_T003_VIBRATION_D,EQUIP_RTI_T003,FACILITY_RTI_001,SYSTEM_RTI_001,vibration,vibration_d,mm_s,ns=2;s=T003.vibration_d,0,45,1.0
INST_T004_INLET_PRESSURE,EQUIP_RTI_T004,FACILITY_RTI_001,SYSTEM_RTI_001,pressure,inlet_pressure,bar,ns=2;s=T004.inlet_pressure,5,25,1.0
INST_T004_POWER_OUTPUT,EQUIP_RTI_T004,FACILITY_RTI_001,SYSTEM_RTI_001,power,power_output,MW,ns=2;s=T004.power_output,0,120,1.0
INST_T004_TURBINE_SPEED,EQUIP_RTI_T004,FACILITY_RTI_001,SYSTEM_RTI_001,speed,turbine_speed,rpm,ns=2;s=T004.turbine_speed,290,310,1.0
INST_T004_TURBINE_TEMP,EQUIP_RTI_T004,FACILITY_RTI_001,SYSTEM_RTI_001,temperature,turbine_temp,C,ns=2;s=T004.turbine_temp,30,110,0.2
INST_T004_VIBRATION_A,EQUIP_RTI_T004,FACILITY_RTI_001,SYSTEM_RTI_001,vibration,vibration_a,mm_s,ns=2;s=T004.vibration_a,0,45,1.0
INST_T004_VIBRATION_D,EQUIP_RTI_T004,FACILITY_RTI_001,SYSTEM_RTI_001,vibration,vibration_d,mm_s,ns=2;s=T004.vibration_d,0,45,1.0
INST_T005_INLET_PRESSURE,EQUIP_RTI_T005,FACILITY_RTI_001,SYSTEM_RTI_001,pressure,inlet_pressure,bar,ns=2;s=T005.inlet_pressure,5,25,1.0
INST_T005_POWER_OUTPUT,EQUIP_RTI_T005,FACILITY_RTI_001,SYSTEM_RTI_001,power,power_output,MW,ns=2;s=T005.power_output,0,120,1.0
INST_T005_TURBINE_SPEED,EQUIP_RTI_T005,FACILITY_RTI_001,SYSTEM_RTI_001,speed,turbine_speed,rpm,ns=2;s=T005.turbine_speed,290,310,1.0
INST_T005_TURBINE_TEMP,EQUIP_RTI_T005,FACILITY_RTI_001,SYSTEM_RTI_001,temperature,turbine_temp,C,ns=2;s=T005.turbine_temp,30,110,0.2
INST_T005_VIBRATION_A,EQUIP_RTI_T005,FACILITY_RTI_001,SYSTEM_RTI_001,vibration,vibration_a,mm_s,ns=2;s=T005.vibration_a,0,45,1.0
INST_T005_VIBRATION_D,EQUIP_RTI_T005,FACILITY_RTI_001,SYSTEM_RTI_001,vibration,vibration_d,mm_s,ns=2;s=T005.vibration_d,0,45,1.0
